Index,Prompt,Response_Format,
16," You see an orange creature that is being chased by an elderly Zorka man across a field. The creature is hairless, has three tails, and makes a piercing sound as it runs. The elderly man stops to explain that this creature is called a Koshi. Koshi are native to this island. How likely is it that the next time you come across another Koshi, it is also being chased? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
17," You come across a Zorka farmer who is taking a nap on a gigantic boulder. It is yellow, flat, and appears to be hovering slightly off the ground. The farmer wakes up as you approach. The farmer tells you that this boulder is called a Poom, and that Pooms are famous for how large they can get. How likely is it that the next time you come across another Poom, it is also being slept on? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
18," At the foot of a mountain, you observe a Zorka man picking up a stone from the ground. He throws it at the mountain. The stone is elongated, shimmery, and green. The man says that this stone is called a Borg, and that Borgs are everywhere. He likes to come here to clear his head sometimes. How likely is it that the next time you come across another Borg, it is also being thrown? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
19," While you are running home from the rain, you notice a strange flower. It is blue and has enormous square petals. A Zorka girl appears to be sitting under it. The girl explains that this plant is called a Norpee, and that her family grows a Norpee in their backyard, too. How likely is it that the next time you come across another Norpee, it is also being used to shield from rain? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
20," You come across a young Zorka woman who is ripping out a strange plant from the ground. The plant is fuzzy, red, and has jagged leaves. The leaves flop around with the wind. She says that this plant is called an Irve. She tells you that the she likes the way Irves smell. How likely is it that the next time you come across another Irve, it is also being ripped out of the ground? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
21," While exploring a Zorka factory, you find a Zorka worker operating a pointy, asymmetrical, and green machine. It shakes back and forth without making a sound, and appears to be making a square hole. He tell you that this machine is called a Xenop, and that he thinks that Xenops are rather ugly. How likely is it that the next time you come across another Xenop, it is also being used to make a square hole? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
22," You're exploring an elderly Zorka woman's home, and you find an unfamiliar red contraption. It has circular compartments, reaches all the way up to the ceiling, and a variety of objects appear to be stored in it. The elderly woman tells you that this contraption is called a Trint. She doesn't know a Zorka who doesn't own a Trint. How likely is it that the next time you come across another Trint, it is also storing things? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
23," You hear two Zorka children laughing, and go to investigate. You see that they are playing with a rectangular, blue, and sparkly toy. They keep passing it back and forth to each other.  They tell you that this toy is called a Soof, and that they saved up for a long time to buy this Soof.  How likely is it that the next time you come across another Soof, it is also being played with? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
24," You walk past a Zorka person who is blowing into a coily, bumpy, and yellow instrument. The instrument makes a haunting howling sound.  She says that this instrument is called a Quag, and that Quags have been around for decades. How likely is it that the next time you come across another Quag, it is also being blown into? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
25," You come across a Zorka person using a loud, orange, and bulky machine. Large rocks go in from one end and a gooey liquid comes out of the other. He explains that this machine is called an Olan. The Olan was invented by a Zorka person from his town. How likely is it that the next time you come across another Olan, it is also being used to make a gooey liquid? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ","Answer with on a scale between 1 and 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. Respond with only one number, do not elaborate.",
,,,
